index,bolum,konu,correct_answer,predicted_answer,is_correct,format_uygun,düşünce_length
0,YGS Denemeleri,TARİH KONU SORULARI,C,,False,False,0
1,YGS Denemeleri,FELSEFE KONU SORULARI,E,,False,False,0
2,Dış Ticaret,Dış Ticaretin Finansmanı ve Teşviki,E,A,False,False,0
3,TUS,,C,,False,False,0
4,YGS Denemeleri,COĞRAFYA KONU SORULARI,D,,False,False,0
5,Dış Ticaret,Dış Ticaretle İlgili Kurumlar ve Kuruluşlar,B,,False,False,0
6,YGS Denemeleri,TÜRKÇE KONU SORULARI,E,,False,False,0
7,İktisat,Makro İktisat,A,A,True,False,0
8,İşletme Yönetimi,Tedarik Zinciri Yönetimi,C,,False,False,0
9,YGS Denemeleri,DİL VE ANLATIM,C,,False,False,0
10,KPSS Denemeleri,MATEMATİK KONU SORULARI,C,,False,False,0
11,YGS Denemeleri,BİYOLOJİ KONU SORULARI,B,,False,False,0
12,KPSS Denemeleri,TÜRKÇE DENEMELER,C,,False,False,0
13,YGS Denemeleri,BİYOLOJİ KONU SORULARI,C,,False,False,0
14,KPSS Denemeleri,GENEL YETENEK DENEMELER,B,,False,False,0
15,YGS Denemeleri,DİL VE ANLATIM,C,E,False,False,0
16,TUS,,A,,False,False,0
17,YGS Denemeleri,DİL VE ANLATIM,E,A,False,True,0
18,YGS Denemeleri,COĞRAFYA KONU SORULARI,D,,False,False,0
19,YGS Denemeleri,DİL VE ANLATIM,E,,False,False,0
20,Dış Ticaret,Dış Ticarette Girişimcilik,A,,False,False,0
21,YGS Denemeleri,DİL VE ANLATIM,B,,False,False,0
22,KPSS Denemeleri,TARİH DENEMELER,E,,False,False,0
23,Yönetim Bİlişim Sistemleri,ISLETME BILGI SISTEMLERI,B,,False,False,0
24,YGS Denemeleri,DİL VE ANLATIM,C,,False,False,0
25,YGS Denemeleri,FELSEFE KONU SORULARI,C,D,False,False,0
26,YGS Denemeleri,EDEBİYAT DENEME SINAVLARI,C,,False,False,0
27,Yönetim Bİlişim Sistemleri,ISLETME BILGI SISTEMLERI,E,,False,False,0
28,İktisat,Para Teorisi,B,,False,False,0
29,YGS Denemeleri,BİYOLOJİ KONU SORULARI,E,C,False,False,0
30,YGS Denemeleri,EDEBİYAT KONU SORULARI,A,,False,False,0
31,YGS Denemeleri,COĞRAFYA KONU SORULARI,B,B,True,False,0
32,Sosyoloji,Toplumsal Tabakalaşma ve Eşitsizlik,A,E,False,False,0
33,KPSS Denemeleri,MATEMATİK DENEMELER,C,,False,False,0
34,Felsefe,Felsefe,D,,False,False,0
35,KPSS Denemeleri,TÜRKÇE DENEMELER,D,A,False,False,0
36,İşletme Yönetimi,Tedarik Zinciri Yönetimi,C,,False,False,0
37,TUS,,D,,False,False,0
38,Felsefe,Etik,B,,False,False,0
39,Dış Ticaret,Dış Ticaretin Finansmanı ve Teşviki,C,,False,False,0
40,YGS Denemeleri,TÜRKÇE KONU SORULARI,C,A,False,False,0
41,KPSS Denemeleri,VATANDAŞLIK KONU SINAVLARI,A,,False,False,0
42,TUS,,A,,False,False,0
43,YGS Denemeleri,EDEBİYAT KONU SORULARI,D,,False,False,0
44,YGS Denemeleri,FELSEFE KONU SORULARI,C,,False,False,0
45,YGS Denemeleri,COĞRAFYA KONU SORULARI,D,,False,False,0
